"TIMESTAMP","DURATION_MS","PROTOCOL","EVENT","FROM","TO","TIMESLOT","COLOR_CODE","ALGORITHM","KEY","DETAILS"
"2025:05:12:16:26:09","3604","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:26:09","3742","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:42","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:42","342","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:42","693","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:42","1044","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:42","1393","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:42","1795","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:42","1895","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:44","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:44","49","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:44","400","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:44","703","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:44","1102","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:44","1447","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:44","1599","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","99","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","396","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","723","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","1125","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","1484","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","1831","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:47","1922","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:49","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:49","56","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:49","348","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:49","706","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:49","1069","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:36:49","1215","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:45","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:45","391","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:45","753","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:45","808","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","343","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","730","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","1043","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","1391","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","1791","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:38:48","1876","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:03","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:03","346","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:03","699","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:03","1051","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:03","1404","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:03","1538","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:07","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:07","43","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:07","346","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:07","693","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:07","1055","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:07","1152","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","395","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","759","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","1053","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","1455","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:19","1559","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:24","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:24","","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:24","351","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:24","699","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:39:24","1051","DMR","Group Call","1","601","TS:1","1","","","SERVICE OPTIONS []"
